Kirk,Cousins,Minnesota Vikings,QB,15
Ryan,Tannehill,Tennessee Titans,QB,14
Teddy,Bridgewater,Carolina Panthers,QB,16
Drew,Brees,New Orleans Saints,QB,15
Daniel,Jones,New York Giants,QB,16
Drew,Lock,Denver Broncos,QB,14
Carson,Wentz,Philadelphia Eagles,QB,16
Lamar,Jackson,Baltimore Ravens,QB,10
Joe,Burrow,Cincinnati Bengals,QB,15
Cam,Newton,New England Patriots,QB,11
Sam,Darnold,New York Jets,QB,16
Andy,Dalton,Dallas Cowboys,QB,10
Gardner,Minshew II,Jacksonville Jaguars,QB,10
Nick,Mullens,San Francisco 49ers,QB,15
Mitchell,Trubisky,Chicago Bears,QB,11
Nick,Foles,Chicago Bears,QB,10
Tua,Tagovailoa,Miami Dolphins,QB,10
Ryan,Fitzpatrick,Miami Dolphins,QB,13
Alex,Smith,Washington Football Team,QB,16
Dwayne,Haskins,Washington Football Team,QB,14
Dak,Prescott,Dallas Cowboys,QB,16
Mike,Glennon,Jacksonville Jaguars,QB,12
Jalen,Hurts,Philadelphia Eagles,QB,12
Brandon,Allen,Cincinnati Bengals,QB,10
Jimmy,Garoppolo,San Francisco 49ers,QB,12
Joe,Flacco,New York Jets,QB,11
Taysom,Hill,New Orleans Saints,QB,13
Jake,Luton,Jacksonville Jaguars,QB,14
C.J.,Beathard,San Francisco 49ers,QB,13
Kyle,Allen,Washington Football Team,QB,15
Colt,McCoy,New York Giants,QB,15
Jeff,Driskel,Denver Broncos,QB,10
Taylor,Heinicke,Washington Football Team,QB,10
P.J.,Walker,Carolina Panthers,QB,12
Chad,Henne,Kansas City Chiefs,QB,16
John,Wolford,Los Angeles Rams,QB,14
Jarrett,Stidham,New England Patriots,QB,12
Ben,Dinucci,Dallas Cowboys,QB,12
Mason,Rudolph,Pittsburgh Steelers,QB,15
Chase,Daniel,Detroit Lions,QB,12
Brett,Rypien,Denver Broncos,QB,16
Garrett,Gilbert,Dallas Cowboys,QB,16
Ryan,Finley,Cincinnati Bengals,QB,16
Tyrod,Taylor,Los Angeles Chargers,QB,12
Marcus,Mariota,Las Vegas Raiders,QB,16
Brian,Hoyer,New England Patriots,QB,15
Matt,Barkley,Buffalo Bills,QB,16
Tyler,Huntley,Baltimore Ravens,QB,15
Chris,Streveler,Arizona Cardinals,QB,12
Blaine,Gabbert,Tampa Bay Buccaneers,QB,10
Robert,Griffin III,Baltimore Ravens,QB,11
Jameis,Winston,New Orleans Saints,QB,13
Nate,Sudfeld,Philadelphia Eagles,QB,14
David,Blough,Detroit Lions,QB,11
Case,Keenum,Cleveland Browns,QB,12
Trace,McSorley,Baltimore Ravens,QB,12
Kendall,Hinton,Denver Broncos,QB,14
Jacoby,Brissett,Indianapolis Colts,QB,10
Joshua,Dobbs,Pittsburgh Steelers,QB,15
Nathan,Peterman,Las Vegas Raiders,QB,14
Geno,Smith,Seattle Seahawks,QB,12
Tyler,Bray,Chicago Bears,QB,12
